created_at,job,price(usd),matched_keywords_job,combined_keywords
2021-10-28 14:16:36,Revisar cilindro ($ 3700.-),0.0,Cilindro,cilindro
2021-10-28 18:16:49,"Rellenar asiento, cilindro y ruedas",36.03,Cilindro,"cilindro, ruedas, rueda"
2021-10-29 15:31:06,colocar cilindro nuevo  y armar,19.61,Cilindro,cilindro
2021-11-03 14:07:43,Cambio de cilindro. PAGADO,25.27,Cilindro,cilindro
2021-11-03 17:31:05,Revisar y presupuestar/se baja cilindro/ contacto,56.08,Cilindro,cilindro
2021-11-04 17:12:52,TAPIZAR IGUAL ANTES / CILINDRO Y RUEDAS,49.66,Cilindro,
2021-11-05 13:30:24,Cambiar chapòn c/colocaciòn de parker y revisar cilindro,62.16,Cilindro,cilindro
2021-11-06 15:29:36,Cambiar cilindro y ruedas,36.15,Cilindro,"cilindro, ruedas, rueda"
2021-11-08 20:43:38,"Chapòn basculante, cilindro y suplem. estrella",64.86,Cilindro,"cilindro, basculante, estrella"
2021-11-13 16:38:42,"Cilindro, relleno de asiento, 1 inserto, 1 rueda us. y 2 tornillos",41.89,Cilindro,rueda
2021-11-13 17:45:34,"Revisar y presupuestar: cilindro, chapòn, ruedas, rellenar asiento y respaldo, tornillo y suplem. apoyas",101.01,Cilindro,"cilindro, ruedas, rueda, rellenar"
2021-11-19 17:42:52,Cilindro y contacto c/soldadura,52.03,Cilindro,
2021-11-24 17:42:46,"Cilindro, ruedas y chapon basculante",73.65,Cilindro,"basculante, ruedas, rueda"
2021-11-24 20:47:29,Cambiar cilindro,25.34,Cilindro,cilindro
2021-11-25 17:07:38,Revisar cilindro y ver,59.8,Cilindro,cilindro
2021-12-03 15:47:59,Hacer funda borde asiento c/refuerzo y poner taquito de goma dentro de cilindro,20.57,Cilindro,cilindro
2021-12-14 18:10:07,Cambiar cilindro,26.6,Cilindro,cilindro
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,Cilindro,"cilindro, ruedas, rueda, estrella, rellenar, retapizar"
